id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group
65887,200.0,2011-03-17,Solidame,218,Msabi,36.67616372,-8.12946992,Mianzini,0,Rufiji,Mangwale,Morogoro,5,3,Kilombero,Ifakara,500,True,GeoData Consultants Ltd,,,True,2003,other - rope pump,rope pump,rope pump,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair
5653,0.0,2012-10-02,Rwssp,0,RWSSP,32.71514488,-3.85034048,Mkombozi,0,Lake Victoria,Bugisha,Shinyanga,17,3,Kahama,Isagehe,0,True,GeoData Consultants Ltd,,,True,0,nira/tanira,nira/tanira,handpump,wua,user-group,never pay,never pay,soft,good,seasonal,seasonal,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair
40725,0.0,2013-02-16,Tasaf,0,TASAF,0.0,-2e-08,Majengo Mapya,0,Lake Victoria,Majengo,Shinyanga,17,1,Bariadi,Nyakabindi,0,True,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,pay annually,annually,salty abandoned,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair
27886,600.0,2013-01-25,Isf,994,DWE,29.73493982,-4.81168075,Tulibona,0,Lake Tanganyika,Samilo,Kigoma,16,3,Kigoma Rural,Mahembe,433,True,GeoData Consultants Ltd,WUG,Mkongoro Two,True,2008,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair
32285,5.0,2013-12-03,Private Individual,1551,Dmdd,35.62340153,-3.35750373,Tomas,0,Internal,Mefurda,Arusha,24,30,Karatu,Qurus,250,True,GeoData Consultants Ltd,VWC,Gyewasu,True,2002,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,others
71206,0.0,2013-03-19,Adb,1151,JANDU PLUMBER CO,36.3368921,-2.86546003,Kwa Daniel Maibal,0,Internal,Mangula,Arusha,2,6,Longido,Ketumbeine,1500,True,GeoData Consultants Ltd,VWC,Kitumbeine water project,True,2005,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,insufficient,insufficient,river,river/lake,surface,cattle trough,cattle trough,others
19922,20.0,2011-03-04,Wua,309,WU,38.3978813,-6.11944783,Hemed Ally,0,Wami / Ruvu,Kwa Mkopi,Pwani,6,1,Bagamoyo,Miono,20,True,GeoData Consultants Ltd,WUA,Chalinze wate,True,2009,ksb,submersible,submersible,wua,user-group,pay per bucket,per bucket,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,others
54757,0.0,2011-04-17,Government Of Tanzania,0,Centr,36.11097809,-5.04953564,Ccm,0,Internal,China,Dodoma,1,1,Kondoa,Goima,0,True,GeoData Consultants Ltd,VWC,Ntom,False,0,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe multiple,communal standpipe,others
72971,0.0,2012-10-26,Government Of Tanzania,0,Government,33.87325942,-4.27801676,Kwa Juma,0,Internal,Stoo Ya Pamba,Tabora,14,2,Igunga,Igunga,0,False,GeoData Consultants Ltd,Water authority,,False,0,gravity,gravity,gravity,other,other,pay per bucket,per bucket,soft,good,enough,enough,dam,dam,surface,communal standpipe multiple,communal standpipe,others
17966,500.0,2011-03-04,Ki,453,Ki,37.08045206,-6.8764394,Shule,0,Wami / Ruvu,Shuleni,Morogoro,5,1,Kilosa,Mabwerebwere,250,True,GeoData Consultants Ltd,VWC,,True,2004,swn 80,swn 80,handpump,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,others
19937,0.0,2012-10-08,Dwsp,0,DWE,33.52833617,-3.60080016,Lugwisha,0,Internal,Idukilo,Shinyanga,17,7,Shinyanga Urban,Kolandoto,0,,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,salty,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,others
66791,0.0,2013-03-21,,1422,,36.29458738,-3.4010952000000003,Nanja Secondary School 2,0,Internal,Nanja,Arusha,2,1,Monduli,Sepeko,1,False,GeoData Consultants Ltd,Parastatal,,,2000,other,other,other,parastatal,parastatal,never pay,never pay,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,functional needs repair
64542,0.0,2013-10-03,Oxfam,1838,DWE,36.70887304,-3.32670423,Shuleni,0,Pangani,Shuleni,Arusha,2,2,Arusha Rural,Oltroto,150,True,GeoData Consultants Ltd,VWC,Nabaiye pipe line,True,1998,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,others
42095,2000.0,2011-03-13,Adb,1627,DWE,34.77692293,-8.94903736,Kwa Jenifa Mlimbila,0,Rufiji,Mbweni,Iringa,11,4,Njombe,Mtwango,65,True,GeoData Consultants Ltd,VWC,Utengule gravity Scheme,False,2008,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,others
70618,0.0,2011-08-02,Kkkt,0,KKKT,32.86246042,-8.92183595,Mbugani 2,0,Lake Rukwa,Chilesya,Mbeya,12,6,Mbozi,Halungu,0,False,GeoData Consultants Ltd,VWC,,False,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair
24082,0.0,2013-01-29,Tasaf,0,DWE,0.0,-2e-08,Igunabaruhi,0,Lake Victoria,Mwanungu,Shinyanga,17,1,Bariadi,Lagangabilili,0,True,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,other,other,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair
51283,0.0,2011-03-13,Roman Catholic,225,DWE,38.78639264,-5.108054,Uwanjani,0,Pangani,Miembeni,Tanga,4,3,Muheza,Kicheba,150,True,GeoData Consultants Ltd,VWC,Mabula mountains spr,False,1999,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,spring,spring,groundwater,communal standpipe,communal standpipe,others
71125,1000.0,2013-02-27,Danida,921,DWE,35.31439884,-10.75701296,Kwa Gabriel,0,Ruvuma / Southern Coast,Misri,Ruvuma,10,2,Songea Rural,Magagura,0,True,GeoData Consultants Ltd,VWC,Mradi wa maji wa mbinga mh,True,1986,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair
17541,1000.0,2013-03-14,Villagers,1323,Villagers,37.91841942,-4.15448819,Kwa Wiljohn,0,Pangani,Kisanzuni,Kilimanjaro,3,3,Same,Mshewa,30,True,GeoData Consultants Ltd,Water authority,Tutu,True,2009,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair
67447,0.0,2011-03-15,Roman,1360,wanan,34.93916893,-10.12676456,none,0,Lake Nyasa,Magomeni,Iringa,11,5,Ludewa,Ibumi,150,True,GeoData Consultants Ltd,VWC,Roman,False,2007,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,others
39888,0.0,2013-04-04,Government Of Tanzania,1537,RWE,37.28550021,-3.20328901,Kwa Andrea Makoyi,0,Pangani,Mkomilo,Kilimanjaro,3,4,Moshi Rural,Kibosho Magharibi,50,False,GeoData Consultants Ltd,VWC,Otaruni water supply,True,1976,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,other,other,functional needs repair
40464,0.0,2013-01-25,Dwsp,0,DWE,0.0,-2e-08,Mbilibili,0,Lake Victoria,Kasili,Shinyanga,17,1,Bariadi,Nkoma,0,False,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,dry,dry,shallow well,shallow well,groundwater,hand pump,hand pump,others
57036,0.0,2013-01-20,Government Of Tanzania,1391,DWE,30.28758768,-4.4514775,Tenkini,0,Lake Tanganyika,Katonga B,Kigoma,16,2,Kasulu,Nyakitonto,2700,True,GeoData Consultants Ltd,Water authority,Janda,True,2006,gravity,gravity,gravity,water board,user-group,never pay,never pay,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair
10988,0.0,2012-10-06,Tasaf,0,Community,34.22099625,-3.6876412,Mwamagembe Tank,0,Internal,Shuleni,Shinyanga,17,6,Meatu,Mwamanongu,0,True,GeoData Consultants Ltd,WUA,Mwamagembe village water pipe scheme,True,0,windmill,wind-powered,wind-powered,wua,user-group,pay annually,annually,soft,good,enough,enough,shallow well,shallow well,groundwater,communal standpipe,communal standpipe,others
1684,0.0,2011-04-02,,0,,34.41552943,-8.61921487,Kwa Chakuluvala,0,Rufiji,Uzunguni,Mbeya,12,7,Mbarali,Mawindi,0,True,GeoData Consultants Ltd,WUA,,True,0,gravity,gravity,gravity,wua,user-group,never pay,never pay,soft,good,seasonal,seasonal,river,river/lake,surface,communal standpipe,communal standpipe,others
9512,0.0,2011-03-13,Government Of Tanzania,171,DWE,38.80154248,-5.0847524,Konani,0,Pangani,Mabungu,Tanga,4,3,Muheza,Misozwe,150,True,GeoData Consultants Ltd,VWC,Mabula mountains spr,False,1999,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,spring,spring,groundwater,communal standpipe,communal standpipe,others
14698,0.0,2012-12-14,Government Of Tanzania,1156,Government,33.62950024,-1.79193979,Suguti Sekondari,0,Lake Victoria,Nyasurura,Mara,20,3,Musoma Rural,Suguti,450,,GeoData Consultants Ltd,Parastatal,,False,2010,gravity,gravity,gravity,parastatal,parastatal,unknown,unknown,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,others
47862,0.0,2012-10-08,Rwssp,0,WEDECO,34.39454128,-3.91411573,Ujamaa,0,Internal,Lata,Shinyanga,17,6,Meatu,Mwamalole,0,True,GeoData Consultants Ltd,WUG,None,True,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,insufficient,insufficient,hand dtw,borehole,groundwater,hand pump,hand pump,others
19335,5.0,2013-12-03,Private Individual,1536,Dmdd,35.64119355,-3.34641306,Kwa Islael,0,Internal,Halet,Arusha,24,30,Karatu,Qurus,300,True,GeoData Consultants Ltd,VWC,Gyewasu,True,2002,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,others
55371,0.0,2011-03-28,Ki,1317,Ki,36.84275965,-6.1905432000000005,Shuleni,0,Wami / Ruvu,Kichangani A,Morogoro,5,1,Kilosa,Gairo,230,True,GeoData Consultants Ltd,VWC,Lu,True,2006,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair
14126,0.0,2011-03-29,Tredep,363,Local  technician,38.33485099,-5.05808262,Sakawie,0,Pangani,Mapinduzi,Tanga,4,2,Korogwe,Makuyuni,300,True,GeoData Consultants Ltd,VWC,,False,1982,other,other,other,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,other,other,others
50048,0.0,2011-08-03,,0,,33.62802938,-9.36235068,Kwa Mzee Amlike,0,Lake Nyasa,Ndubi,Mbeya,12,4,Rungwe,Kisondela,0,True,GeoData Consultants Ltd,VWC,K,,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair
7916,1000.0,2013-02-03,Mission,1025,DWE,35.27813186,-10.44091505,Kwa Faustini,0,Lake Nyasa,Kaza Roho,Ruvuma,10,2,Songea Rural,Kilagano,350,True,GeoData Consultants Ltd,VWC,Mradi wa maji wa kilagano,True,2009,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair
10600,500.0,2013-01-16,Norad,928,RWE,29.67306868,-4.78483903,Kwa Erik,0,Lake Tanganyika,Kachula,Kigoma,16,3,Kigoma Rural,Kagongo,166,True,GeoData Consultants Ltd,VWC,Mkongoro One,True,1985,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair
6943,500.0,2013-01-20,Dfid,1525,WATER AID,34.78564306,-4.83752649,Ukombozi,0,Internal,Unyambaa,Singida,13,4,Singida Urban,Mungumaji,45,True,GeoData Consultants Ltd,WUG,,True,2005,windmill,wind-powered,wind-powered,wug,user-group,pay monthly,monthly,soft,good,dry,dry,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,others
10737,5000.0,2011-03-05,Kkkt,1975,Commu,34.32676257,-9.50641074,none,0,Lake Nyasa,Intera,Iringa,11,3,Makete,Ipepo,0,True,GeoData Consultants Ltd,VWC,Ipepo,False,2003,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,others
70987,250.0,2013-02-03,Oxfarm,1512,OXFARM,29.80892692,-4.53446663,Kwa Abasi,0,Lake Tanganyika,Mhinda Kati,Kigoma,16,2,Kigoma Rural,Mkigo,650,True,GeoData Consultants Ltd,Water authority,Mroroma,True,2001,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,others
7179,0.0,2011-04-13,Government Of Tanzania,1784,DWE,34.69691842,-9.14886937,Lutheran Church,0,Rufiji,Kati,Iringa,11,4,Njombe,Mdandu,50,True,GeoData Consultants Ltd,VWC,wanging'ombe water supply s,True,1974,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,others
38980,2400.0,2011-03-18,Danida,1622,DWE,34.93188508,-8.6941411,none,0,Rufiji,M,Iringa,11,2,Mufindi,Itandula,0,True,GeoData Consultants Ltd,VWC,Nzi,True,0,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,others
713,0.0,2011-03-03,Adb,1677,DWE,35.15509555,-8.25448781,none,0,Rufiji,L,Iringa,11,2,Mufindi,Igombavanu,0,True,GeoData Consultants Ltd,VWC,,True,2000,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,hand dtw,borehole,groundwater,hand pump,hand pump,others
35631,0.0,2011-07-13,,0,,33.82807175,-9.16147065,Shule Ya Msingi Sanganilo,0,Lake Nyasa,Matamba Chini,Mbeya,12,4,Rungwe,Isange,0,True,GeoData Consultants Ltd,VWC,K,,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,others
36726,0.0,2011-03-05,Dhv\norp,321,DHV,35.81212723,-8.77042496,Kwamwaduma,0,Rufiji,Songambele,Morogoro,5,3,Kilombero,Mlimba,200,True,GeoData Consultants Ltd,VWC,Mlimba W,True,1997,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,others
29871,0.0,2011-08-22,Ilo,1749,DWE,31.76362251,-8.44213429,Kwa John Fungameza,0,Lake Rukwa,Maswepa,Rukwa,15,2,Sumbawanga Rural,Mwazye,250,True,GeoData Consultants Ltd,VWC,Mwazye water supply,True,1983,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,others
19829,10.0,2013-02-05,Mtuwasa,-8,MTUWASA,40.19704668,-10.29138703,Kioski Bayana Lionde,0,Ruvuma / Southern Coast,Mlimani,Mtwara,9,5,Mtwara Urban,Likombe,640,True,GeoData Consultants Ltd,Water authority,Mlimani,True,2009,submersible,submersible,submersible,private operator,commercial,pay per bucket,per bucket,soft,good,seasonal,seasonal,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,functional needs repair
70844,0.0,2012-10-26,World Vision,0,World vision,32.21697388,-3.37335176,Ilaba B,0,Lake Tanganyika,Ilaba B,Shinyanga,17,5,Bukombe,Mbogwe,0,True,GeoData Consultants Ltd,WUG,,True,0,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,soft,good,dry,dry,shallow well,shallow well,groundwater,hand pump,hand pump,others
44755,50.0,2013-01-19,Jika,849,JIKA,35.06879779,-5.8622973,Kiosk Namba Nane,0,Internal,Mjini,Singida,13,3,Manyoni,Chikuyu,812,True,GeoData Consultants Ltd,VWC,Mradi wa mkombozi,True,2003,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,others
41042,600.0,2013-01-25,Isf,984,DWE,29.72844316,-4.8253934,Mlatutunduye,0,Lake Tanganyika,Kagulwe,Kigoma,16,3,Kigoma Rural,Mahembe,530,True,GeoData Consultants Ltd,WUG,Mkongoro Two,True,2008,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair
36596,0.0,2013-01-24,Fini Water,66,Fini water,39.52472106,-10.03496212,Kwa Nyanga,0,Ruvuma / Southern Coast,Msikitini,Lindi,80,62,Lindi Rural,Tandangongoro,200,True,GeoData Consultants Ltd,,,True,1997,other,other,other,vwc,user-group,unknown,unknown,coloured,colored,enough,enough,machine dbh,borehole,groundwater,other,other,others
